[0000009482ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000009512ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000009544ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000009560ns] mycpu : pc = 1c009004,  reg = 16, val = 0000004e
[0000009642ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000009660ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000009692ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000009706ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000009740ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000009754ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000009768ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000009800ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000009832ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000009850ns] mycpu : pc = 1c009004,  reg = 16, val = 0000004f
[0000009964ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000009988ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000010030ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000010048ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000010084ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000010100ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000010120ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000010148ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000010182ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000010198ns] mycpu : pc = 1c009004,  reg = 16, val = 00000050
[0000010312ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000010332ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000010366ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000010382ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000010436ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000010456ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000010474ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000010508ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
